t,a,v,soc,kw
42342,10.7,375.8,19.73,4.02
42343,12.9,376.0,19.73,4.84
42344,26.2,376.5,19.73,9.87
42345,33.7,377.2,19.73,12.73
42346,52.6,378.0,19.74,19.89
42347,68.1,379.3,19.75,25.83
42348,81.6,380.7,19.76,31.07
42349,88.3,381.0,19.77,33.65
42350,103.0,381.7,19.78,39.32
42351,118.6,382.4,19.8,45.37
42352,128.1,383.2,19.82,49.08
42353,140.8,384.5,19.83,54.13
42354,152.5,385.2,19.85,58.75
42355,165.5,386.0,19.88,63.87
42356,176.5,386.3,19.9,68.2
42357,188.9,387.7,19.93,73.22
42358,203.0,389.0,19.95,78.98
42359,203.9,389.0,19.98,79.3
42360,204.0,389.0,20.01,79.37
42361,204.3,389.2,20.03,79.5
42362,205.0,389.5,20.07,79.83
42363,205.0,389.8,20.09,79.92
42364,205.7,390.0,20.12,80.22
42365,206.0,390.0,20.15,80.34
42366,206.0,390.0,20.17,80.34
42367,206.1,390.0,20.19,80.36
42368,206.0,390.0,20.22,80.34
42369,206.1,390.5,20.25,80.47
42370,206.1,391.0,20.27,80.57
42371,206.0,391.0,20.29,80.55
42372,206.0,391.0,20.32,80.55
42373,206.0,391.0,20.35,80.54
42374,206.0,391.0,20.38,80.55
42375,206.1,391.0,20.4,80.57
42376,206.1,391.0,20.42,80.57
42377,206.0,391.0,20.45,80.56
42378,206.0,391.0,20.48,80.56
42379,206.0,391.2,20.5,80.56
42380,206.0,392.0,20.54,80.75
42381,206.0,392.0,20.56,80.75
42382,206.0,392.0,20.59,80.77
42383,206.1,392.0,20.61,80.78
42384,206.0,392.0,20.64,80.76
42385,206.0,392.0,20.67,80.75
42386,206.0,392.0,20.7,80.75
42387,206.0,392.0,20.74,80.75
42388,205.9,392.0,20.76,80.72
42389,206.0,392.0,20.79,80.75
42390,205.9,392.0,20.82,80.73
42391,206.0,392.0,20.84,80.74
42392,206.0,392.0,20.88,80.75
42393,206.0,392.0,20.9,80.75
42394,206.0,392.0,20.93,80.74
42395,206.0,392.8,20.96,80.92
42396,206.0,393.0,20.99,80.96
42397,206.0,393.0,21.01,80.96
42398,206.0,393.0,21.05,80.96
42399,206.0,393.0,21.08,80.95
42400,206.0,393.0,21.1,80.95
42401,206.0,393.0,21.13,80.96
42402,206.0,393.0,21.16,80.95
42403,206.0,393.0,21.19,80.95
42404,206.0,393.0,21.21,80.96
42405,206.0,393.0,21.25,80.96
42406,206.0,393.0,21.27,80.95
42407,205.9,393.0,21.29,80.93
42408,205.9,393.0,21.32,80.92
42409,205.9,393.0,21.35,80.91
42410,205.9,393.0,21.38,80.91
42411,205.9,393.0,21.4,80.91
42412,205.9,393.0,21.43,80.91
42413,205.9,393.0,21.45,80.91
42414,205.9,393.0,21.49,80.91
42415,205.9,393.0,21.52,80.91
42416,205.9,393.0,21.54,80.91
42417,205.9,393.0,21.57,80.91
42418,205.9,393.0,21.6,80.91
42419,205.9,393.0,21.63,80.91
42420,205.9,393.6,21.65,81.03
42421,205.9,393.0,21.69,80.91
42422,205.9,393.0,21.71,80.91
42423,205.9,393.5,21.74,81.01
42424,205.9,393.7,21.77,81.06
42425,205.9,393.7,21.8,81.05
42426,205.9,393.3,21.83,80.98
42427,205.9,394.0,21.86,81.12
42428,205.9,394.0,21.88,81.12
42429,205.9,394.0,21.9,81.12
42430,205.9,394.0,21.94,81.12
42431,205.9,394.0,21.96,81.12
42432,205.9,394.0,22.0,81.12
42433,205.9,394.0,22.03,81.12
42434,205.8,394.0,22.05,81.1
42435,205.9,394.0,22.09,81.12
42436,205.9,394.0,22.12,81.12
42437,205.9,394.0,22.14,81.12
42438,205.9,394.0,22.17,81.12
42439,205.8,394.0,22.2,81.08
42440,205.8,394.0,22.22,81.1
42441,205.9,394.0,22.26,81.12
42442,205.9,394.0,22.28,81.12
42443,205.8,394.0,22.31,81.08
42444,205.9,394.0,22.34,81.12
42445,205.8,394.0,22.37,81.1
42446,205.9,394.0,22.4,81.12
42447,205.8,394.0,22.43,81.1
42448,205.9,394.0,22.47,81.12
42449,205.9,394.0,22.49,81.12
42450,205.9,394.0,22.52,81.12
42451,205.8,394.0,22.55,81.09
42452,205.8,394.0,22.58,81.07
42453,205.8,394.0,22.61,81.07
42454,205.8,394.0,22.64,81.08
42455,205.7,394.0,22.67,81.06
42456,205.8,394.0,22.69,81.09
42457,205.8,394.0,22.72,81.09
42458,205.8,394.0,22.75,81.09
42459,205.8,394.0,22.78,81.07
42460,205.7,394.0,22.81,81.05
42461,205.8,394.0,22.84,81.08
42462,205.8,394.0,22.87,81.09
42463,205.8,394.0,22.9,81.08
42464,205.8,394.0,22.93,81.07
42465,205.8,394.0,22.96,81.07
42466,205.7,394.0,22.99,81.04
42467,205.7,394.0,23.02,81.04
42468,205.7,394.0,23.05,81.04
42469,205.7,394.0,23.08,81.04
42470,205.7,394.0,23.11,81.04
42471,205.7,394.0,23.14,81.04
42472,205.7,394.0,23.17,81.04
42473,205.7,394.0,23.2,81.04
42474,205.7,394.0,23.23,81.04
42475,205.7,394.0,23.26,81.04
42476,205.7,394.0,23.28,81.04
42477,205.7,394.0,23.32,81.04
42478,205.7,394.0,23.34,81.04
42479,205.7,394.0,23.37,81.04
42480,205.7,394.0,23.4,81.04
42481,205.7,394.0,23.43,81.04
42482,205.7,394.0,23.46,81.04
42483,205.6,394.0,23.48,80.99
42484,205.6,394.0,23.52,80.99
42485,205.6,394.0,23.55,81.02
42486,205.7,394.0,23.57,81.03
42487,205.6,394.0,23.6,80.99
42488,205.6,394.0,23.63,80.99
42489,205.6,394.0,23.65,80.99
42490,205.6,394.0,23.68,81.01
42491,205.7,394.0,23.72,81.04
42492,205.6,394.0,23.75,80.99
42493,205.6,394.0,23.78,80.99
42494,205.6,394.0,23.81,80.99
42495,205.5,394.0,23.84,80.99
42496,205.5,394.0,23.86,80.98
42497,205.5,394.0,23.89,80.96
42498,205.6,394.0,23.93,80.99
42499,205.6,394.0,23.95,80.99
42500,205.6,394.0,23.98,80.99
42501,205.6,394.0,24.01,80.99
42502,205.6,394.0,24.04,80.99
42503,205.6,394.7,24.06,81.13
42504,205.6,394.0,24.09,80.99
42505,205.6,394.0,24.12,80.99
42506,205.5,394.0,24.15,80.98
42507,205.5,394.0,24.18,80.98
42508,205.6,394.0,24.21,80.99
42509,205.6,394.0,24.24,80.99
42510,205.5,394.0,24.27,80.98
42511,205.6,394.0,24.3,80.99
42512,205.5,394.0,24.32,80.98
42513,205.5,394.0,24.35,80.97
42514,205.6,394.0,24.38,80.99
42515,205.5,394.7,24.41,81.11
42516,205.5,394.0,24.43,80.97
42517,205.5,394.0,24.45,80.97
42518,205.5,394.0,24.49,80.97
42519,205.5,394.0,24.51,80.96
42520,205.4,394.0,24.54,80.93
42521,205.5,394.0,24.56,80.96
42522,205.5,394.0,24.59,80.96
42523,205.5,394.4,24.62,81.06
42524,205.5,394.2,24.65,80.99
42525,205.4,394.0,24.69,80.92
42526,205.5,394.0,24.71,80.97
42527,205.5,394.0,24.75,80.97
42528,205.4,394.0,24.78,80.94
42529,205.5,394.7,24.81,81.09
42530,205.4,394.0,24.84,80.92
42531,205.4,394.0,24.86,80.92
42532,205.4,394.0,24.9,80.95
42533,205.5,394.0,24.93,80.97
42534,205.5,394.0,24.96,80.97
42535,205.4,394.0,24.98,80.92
42536,205.4,394.0,25.02,80.95
42537,205.4,394.0,25.05,80.92
42538,205.4,394.7,25.08,81.06
42539,205.4,394.0,25.11,80.92
